ID_Customer,CompanyName,CustomerType,CustomerSource,Terms,Cust_Cont_ContNum_x_PrimaryPhone::Number,Cust_Cont_ContNum_x_PrimaryFax::Number
178,"Farwest Group - out of business
",DEAD,DEAD,Pay On Pickup,206-851-1992,ex 160
182,L & J Enterprises,Construction ,Direct Mail,Pay On Pickup,(907)776-8656,
,,,,,907-776-8656,907-776-8838
184,Mcchord AFB Rodeo Team,DEAD,DEAD,Pay On Pickup,(253)512-3617,
,,,,,253-984-2926,253-984-5379
,,,,,(253) 982-5292,
,,,,,253-982-5341,253-982-1293
189,Tacoma Community College Bookstore,Emblem,Direct Mail,Net 10,253-566-5185,253-566-5038
,,,,,253-566-6080,253-566-5038
,,,,,253-566-6073,253-566-5038
190,Kitsap Transit,DEAD,DEAD,Pay On Pickup,(360)478-6220,(360)377-7086
,,,,,360-900-6132,360-479-6962
191,Stokes Sales Co.,DEAD,DEAD,Pay On Pickup,(206)762-4627,(206)622-3703
193,Fife High School Kiwanis,School,,Pay On Pickup,,
,,,,,253-686-3543,
194,Milgard Tempering,DEAD,DEAD,Pay On Pickup,253-926-7771c,253-922-8742
,,,,,253-255-3913,
195,Grow It Green Landscaping,DEAD,DEAD,Pay On Pickup,(253)840-5150,253-840-9723
196,Rainy Day Artistry,DEAD,DEAD,Pay On Pickup,(360)484-3681,360-484-7223
,,,,,(360)484-3681,(360)484-7223
197,Miles Sand & Gravel,Construction ,Prior Customer,Pay On Pickup,(253)833-3700,253-833-3746
,,,,,206-947-0627,
,,,,,,253-833-3746
,,,,,253-833-3705 x462,
,,,,,253-833-3700,
,,,,,,
,,,,,,
,,,,,,
198,Bergen Screen Print,DEAD,DEAD,Pay On Pickup,509-965-2511,509-965-6956
,,,,,509-965-2511,509-965-6956
200,Ferguson Construction,Construction ,Null,Net 10,206-255-3030,206-767-7342
,,,,,(206)767-3810,206-767-7342
,,,,,425-974-8400,
201,Franklin Pierce Boosters,DEAD,DEAD,Pay On Pickup,(253)272-5162,
,,,,,,
204,Walt's Radiator/Muffler,DEAD,DEAD,Pay On Pickup,(253) 922-5111,253-926-0112
208,Brunette Sportswear,DEAD,DEAD,Pay On Pickup,509-534-0878,509-534-7851
,,,,,509-534-0878,509-534-7851
,,,,,509-534-0878,509-534-7851
212,Pacific Lift Equipment,DEAD,DEAD,Pay On Pickup,253-572-2914,253-572-2915
216,Tacoma/Pierce County Chaplaincy,DEAD,DEAD,Pay On Pickup,"253 564-7848
",253-564-8038
,,,,,253-564-7848,
220,Ketchikan Hotel Owner LLC/Harp Steamboat Tentant LLC,Emblem,Referral,Net 30,907-265-9650,907-225-9461
,,,,,360-831-3605,
,,,,,805-556-4604,
,,,,,503-319-4974,
221,Northwest Aviation College,DEAD,DEAD,Pay On Pickup,253-854-4960,
,,,,,253-333-6821,
,,,,,253-854-4960,
,,,,,253-939-8750,253-939-2658
,,,,,253-854-4960,253-931-0768
,,,,,253-939-8750,
,,,,,253-854-4960,
,,,,,,
227,Triticum Press,DEAD,DEAD,Pay On Pickup,,
231,The Right Spot,Dead,Prior Customer,Net 10,(253)922-7371,c:253-209-3598
233,Denny Gagnier,Corporate,Prior Customer,Need credit card,253-381-0310,
,,,,,253-798-6751,
237,BJ's Bingo/Smokey Joes,Corporate,Prior Customer,Net 10,(253)922-0430,(253)922-1590
,,,,,253-231-4444,
239,Pacific Rim Imports,DEAD,DEAD,Pay On Pickup,(206)767-5000,(206)767-9179
244,Sunrise Aviation,Corporate,,Pay On Pickup,907-874-2319,907-874-2546
,,,,,907-874-2319,907-874-2546
,,,,,907-874-2319-,907-874-2546
245,Portac,DEAD,DEAD,Pay On Pickup,(253)922-9900,
,,,,,(253)922-9900,(206)587-6065
,,,,,(253)922-9900,(253)587-6065
,,,,,253-922-9900,206-587-6065
247,Westmark Products ,Construction ,Prior Customer,Pay On Pickup,(253)531-3470,
,,,,,253-439-6808,
,,,,,253-439-6806,
,,,,,,
,,,,,253-531-3470,
248,"City Of Tacoma Public Works, Streets & Grounds",Corporate,Customer Referral,Net 30,253-502-8808,253-502-8809
,,,,,253-591-2066,
250,Gift Connections,DEAD,DEAD,Pay On Pickup,(800)422-2305 X 112,(206)622-4285
,,,,,(800)422-2305,(206)622-4285
,,,,,800-877-0400 x112,(253)288-9747
251,"Endicott, William P.",DEAD,DEAD,Pay On Pickup,(425) 741-3549,425-745-1127
253,Ocean Crest Resort,DEAD,DEAD,Pay On Pickup,(360)276-4465,360-276-4149
,,,,,360-276-4465,
,,,,,,360-276-4149
,,,,,360-276-4465,360-276-4149
254,Norpac II,Dead,Prior Customer,Prepaid,360-268-7365,
257,Naselow & Associates,DEAD,DEAD,Pay On Pickup,425-531-1695,425-883-1298
259,Ceccanti Construction,Construction,Direct Mail,Net 10,(253)537-2990 ext 12,(253)537-6943
,,,,,(253)537-2990 ext. 118,c732-3721
,,,,,253-537-2990,
,,,,,253-537-2990,
261,Seattle Seahawks,DEAD,DEAD,Pay On Pickup,(425)827-9777,(253)828-8336
264,CalPortland - Seattle ,Construction ,Prior Customer,Net 10,(206)-764-3020,206-764-3012
,,,,,206-764-3019,206-764-3012
,,,,,253-380-2358,
,,,,,206-715-0324,206-764-3012
,,,,,(206)-764-3000,
,,,,,,
,,,,,206-764-3111,
,,,,,206-764-3032,
,,,,,"206-764-3015

",
,,,,,626-852-6250,
,,,,,206-764-3000,
,,,,,520-572-5310,
,,,,,602-817-6937,
,,,,,206-764-3015,
268,Boilermakers Local  #502,DEAD,DEAD,Pay On Pickup,(253)922-3020,(253)922-3029
,,,,,253-922-3020,253-922-3029
269,Leonard and Company,Construction ,Old customer,Net 10,253-847-7193,253-847-7481
,,,,,253-324-1181,
,,,,,253-847-7193,
,,,,,253-847-7193,
273,Sealand Services/Jim Flanagan,DEAD,DEAD,Pay On Pickup,(253)-839-2569,
,,,,,253-882-1669,
276,Pacific Lutheran Football,DEAD,DEAD,Pay On Pickup,253-535-8311,c253-381-0170
,,,,,253-535-7355,
,,,,,,home445-0109
277,Mountain Logic,Contract,Null,Pay On Pickup,"800-238-5756
",
,,,,,360-569-2433,
,,,,,,
,,,,,360-369-2433,
278,Zirkle Fruit Company,Dead,Null,Net 10,(509)941-8740,509-697-6045
,,,,,509-697-6101,509-697-6045
,,,,,(509)697-6101,509-697-6045
,,,,,509-697-6101,509-697-6045
,,,,,509-697-6101 ext. 1281,509-697-6045
,,,,,509-697-6101,
279,Seattle Tacoma Box,Corporate,Prior Customer,Net 10,253-854-9700,253-852-0891
,,,,,253-854-9700,253-852-0891
,,,,,253-813-5352,
,,,,,253-854-9700,
,,,,,253-854-9700,
,,,,,209-603-4572,
,,,,,253-854-9700,
,,,,,206-849-7109,
,,,,,253-854-9700 ,
,,,,,425-753-1320,
281,Winkler Northwest,DEAD,DEAD,Pay On Pickup,,
282,Nephron Corporation,DEAD,DEAD,Pay On Pickup,(253)383-1002,
283,Fife Sand & Gravel,DEAD,DEAD,Pay On Pickup,cel 253- 606-4797,926-0815
,,,,,253-922-7710,
,,,,,606-4829 ell,926-0815
284,National Specialties,Contract,Null,Net 10,(253)581-4908, cell 253-468-4433 
,,,,,253-576-5196,
286,dead,DEAD,DEAD,Pay On Pickup,907-283-7500,907-283-8192
289,University Of Puget Sound Facilities,DEAD,DEAD,Pay On Pickup,253-879-2778,253-879-3537
,,,,,,
,,,,,253-879-2970,253-879-3537
,,,,,253-879-2779,
,,,,,253-879-3519,253-879-2833
290,Glaceau,DEAD,DEAD,Pay On Pickup,206-465-1905,
291,,Dead,Null,Need credit card,253-922-1884,
292,Nichirei USA LLC,Corporate,Prior Customer,Net 10,206-443-5539,206-443-5800
,,,,,206-448-7800,
,,,,,206-448-7800,
,,,,,,
294,R & M Engineering - Ketchikan Inc.,Corporate,Null,Pay On Pickup,907-225-3441,907-225-3441
,,,,,907-225-7917,
295,Family Karate Center,DEAD,DEAD,Pay On Pickup,425-355-4030,
297,Elfin Cove Lodge,Corporate,Prior Customer,Pay On Pickup,c907-957-8103,c907-957-8103
,,,,,907-239-2209,C941-773-4724
,,,,,907-239-2209,
298,Seaport Sound Terminal LLC,Corporate,Prior Customer,Need credit card,253-272-9348,ex 21
,,,,,253-272-9348,
,,,,,253-272-9348,
,,,,,253-272-9348,
299,E.C. Phillip & Sons Inc.,,Old customer,Pay On Pickup,(907)225-3121,
300,Operating Engineers #612,Construction,Prior Customer,Net 10,(253)572-9612,253-591-9882
,,,,,253-572-9612,
303,Sitka Fire Department,Fire/Police,,Pay On Pickup,(907)747-3233,907-747-7450
,,,,,907-747-3233,907-7477450
305,"West Fork Timber Co, LLC.",DEAD,DEAD,Pay On Pickup,253-381-1028,253-627-4330
,,,,,253-383-5871,253-627-4330
,,,,,,
306,Mark Demming,DEAD,DEAD,Pay On Pickup,253-752-7547,
307,Department of Natural Resources Materials Management,Construction ,Prior Customer,Need credit card,360-596-5185,360-596-5184
308,Puget Sound Const.Systems,DEAD,DEAD,Pay On Pickup,,
311,Tyee Lanes,DEAD,DEAD,Pay On Pickup,(425)259-6161,(425)258-6001
312,Green River College,Corporate,Null,Pay On Pickup,253-833-9111 x 2481,253-931-6346
,,,,,253-833-9111 ,253-931-6346
,,,,,253-833-9111 ext. 4344,253-288-3422
,,,,,253-288-3407,
,,,,,253-579-5306,
,,,,,253-833-9111x4489,
,,,,,253-833-9111 x 2720,
,,,,,253-333-6042,
313,Industrial Hydraulics,DEAD,DEAD,Pay On Pickup,(360)533-7070,
,,,,,360-956-7070,
314,Bramstedt Sales Inc.,DEAD,DEAD,Pay On Pickup,(360)532-7565,
315,Puyallup High School ,School,Null,Net 10,253-841-8711x6007,
,,,,,253-820-7771,
,,,,,253-840-8881,
,,,,,253-840-2329,
,,,,,253-841-8711,
,,,,,253-831-1834,
,,,,,253-820-9215,
,,,,,253-228-3149,
,,,,,253-209-0297,
,,,,,253.223.8510,
,,,,,253-841-8711,
,,,,,,
,,,,,253-255-5363,
,,,,,360-593-1188,
,,,,,,
320,Out of business,DEAD,DEAD,Pay On Pickup,(800)241-8280,253-926-8787
321,Donn Brunson,DEAD,DEAD,Pay On Pickup,253-686-3536,
325,JHD Diesel,DEAD,DEAD,Pay On Pickup,(360)538-1666,360-533-8180
335,Jackie Logue,DEAD,DEAD,Pay On Pickup,360-887-3378,
340,David Saunders,DEAD,DEAD,Pay On Pickup,253-414-2525,
341,Within The Wild Adv. Company,,Old customer,Pay On Pickup,(907)274-2710,
344,"Magnum Venus Products, Inc.",Corporate,Null,Net 10,253-854-2660 ext4533,253-854-1666
,,,,,253-332-1746,
,,,,,,
,,,,,253-639-7863,c360-921-9067
,,,,,,
,,,,,865-622-8051,865-315-7048
,,,,,865-684-4422,
,,,,,253-638-7877,
345,Alaska Travel Adventures,Corporate,Prior Customer,Net 10,907-789-0052,
,,,,,907-796-2204,
,,,,,907-789-0052,
,,,,,907.789.0052,
,,,,,,
,,,,,"907-796-2201
",
,,,,,907-419-5448,
,,,,,907-789-0052,
,,,,,907-789-0052,
,,,,,907-789-0052,C508-209-1166
347,Northlake Tavern & Pizza,DEAD,DEAD,Pay On Pickup,206-633-5317,206-548-0650
,,,,,206-633-5317,206-548-0650
351,dead,DEAD,DEAD,Pay On Pickup,(206)487-0495,
,,,,,907-283-9275X32,(907)283-4097
352,dead,DEAD,DEAD,Pay On Pickup,907-279-1832,(907)279-1794
,,,,,907-279-1832,907-279-1794
353,dead,DEAD,DEAD,Pay On Pickup,,
354,Grays Harbor Shrine Club,DEAD,DEAD,Pay On Pickup,(206)532-9200,
356,Girard Wood Products,Construction ,Prior Customer,Net 10,845-0505,845-5463
,,,,,360-482-5151,
,,,,,360-482-5151,360-482-5311
,,,,,253-845-0505,
,,,,,253-841-7530,
,,,,,253-841-0505,
,,,,,,
,,,,,253-841-7541,
358,Northwest Expressions,DEAD,DEAD,Pay On Pickup,(360)494-7466,(360)494-7466
363,Port of Anacortes,DEAD,DEAD,Pay On Pickup,360-299-1818,
,,,,,360-299-1808,360-293-9608
365,Hadley Marketing Group,DEAD,DEAD,Pay On Pickup,877-252-7392,541-860-5638
368,Valley Rugby,DEAD,DEAD,Pay On Pickup,206-422-4253,
374,Sturm Construction Inc.,DEAD,DEAD,Pay On Pickup,(360)533-0316,
375,S.S.C. Contractors,Dead,Referral,Pay On Pickup,(360)492-5781,
,,,,,253-651-7343,
376,Washington State Patrol Memorial Foundation,Fire/Police,Null,Net 10,360-597-4411,
,,,,,360-596-3926,
,,,,,360-597-4411,
380,Dirk's Truck Repair Inc.,Construction ,,Net 10,(253)584-9180,253-584-9195
,,,,,(253)584-9180,253-584-9195
,,,,,(253)584-9180,253-584-9195
,,,,,253-584-9180,
,,,,,,
,,,,,(253)584-9180,
384,Gold Wing Touring Assoc.,DEAD,DEAD,Pay On Pickup,(253) 631-6994,
386,Weyerhaeuser Company,DEAD,DEAD,Pay On Pickup,(813)744-2213,
,,,,,253-924-5312,
,,,,,253-924-3732,
,,,,,253-924-2660,253-924-5979
390,dead,DEAD,DEAD,Pay On Pickup,,
391,Des Moines Fire Dist. #26,DEAD,DEAD,Pay On Pickup,253-839-6234,(206) 878-2113
,,,,,253-839-6234,
,,,,,253-839-6234,206-878-2113
394,Valley Paving,DEAD,DEAD,Pay On Pickup,(208)788-2284,
,,,,,(208)788-2284,208-788-2195
395,Milton Police Dept.,Fire/Police,,Net 15,255-7931 cell,253-831-4276 D
,,,,,253-922-8735,
,,,,,253-922-8735,
,,,,,253-922-8735,
,,,,,253-377-1977,
,,,,,253-255-7934,
,,,,,253-517-2717,
,,,,,253-377-2326,
,,,,,253-389-6509,
,,,,,253-334-1497,253-922-8735 *2748
,,,,,,
,,,,,253-831-8197,
396,Artwear,DEAD,DEAD,Pay On Pickup,(360)693-4562,
397,Cascade Drilling (Boart Longyear - Milton),Dead,??,Net 30,(253) 883-5200,
,,,,,(253) 883-5200,
402,Arena Sporting Goods,DEAD,DEAD,Pay On Pickup,(206)842-7174,855-8128
403,Slead Construction,Construction,Null,Need credit card,(253)531-2409,253-531-6113
,,,,,253-318-1276,
,,,,,,
405,Tri-City Meats,Corporate,Null,Need credit card,(360)491-2040,360-491-2072
406,Pacific Rim Transport,DEAD,DEAD,Pay On Pickup,909-355-5988,909-355-5983
412,Dealership Profit Center,DEAD,DEAD,Pay On Pickup,(360)834-3333,(360)834-3331
414,A.W.P.P.W. Local #5,DEAD,DEAD,Pay On Pickup,,
,,,,,1-360-834-2232,
415,Sea Scout Ship,Corporate,Prior Customer,Pay On Pickup,253-572-2666,
,,,,,253-318-2533,
,,,,,253-677-9041,
,,,,,253-572-2666,c206-498-9630
,,,,,253-312-3324,
416,Waste Connections (Murrey Disposal),Construction ,Prior Customer,Net 10,253-896-3276,253-251-7788
,,,,,253-922-6682,253-922-8436
,,,,,,cell 255-6236
,,,,,253-896-3283,
,,,,,253-896-3297,
,,,,,253-896-3297,
,,,,,253-896-3282,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,(253) 896-3282,
,,,,,,
,,,,,253-405-6493,
,,,,,,
,,,,,253-334-5339,
,,,,,253-414-0345,
420,Larson Chrysler and Plymouth,DEAD,DEAD,Pay On Pickup,(206)845-1725,
,,,,,(206)845-1725,253-475-2317
421,Blue Sky Landscape Svcs,Construction ,Prior Customer,Pay On Pickup,253-377-9296,770-8891
,,,,,253-926-3818,
,,,,,253-845-2222,
,,,,,253-230-6956,
422,A & B Machine & Hydraulic,DEAD,DEAD,Pay On Pickup,(509)787-2345,
,,,,,(360)532-2580,
,,,,,360-532-2580,360-532-2599
,,,,,1360-532-2580,
424,Action Speciality Advertising,DEAD,DEAD,Pay On Pickup,(503)399-1836,(503)364-9739
426,Tournament Services,DEAD,DEAD,Pay On Pickup,253-565-4734,253-565-4005
427,Milton Fire Department,DEAD,DEAD,Pay On Pickup,(253)573-5971,
,,,,,253-926-0473,922-1752
,,,,,253-922-0944,253-922-1752
428,MC  Parcel Delivery Inc.,Corporate,Prior Customer,Pay On Pickup,(253)272-1800,253-572-1764
,,,,,253-272-1800,
429,British Dancing Academy,Corporate,Null,Pay On Pickup,425-413-5870,425-413-0112
,,,,,425-413-5870,425-413-0112
431,Global Diving & Salvage,Dead,Prior Customer,Need credit card,1-800-441-3483,206-932-9036
,,,,,800-441-3483,206-932-9036
,,,,,206-623-0621,206-932-9036
433,Briere & Associates Inc.,DEAD,DEAD,Pay On Pickup,425-228-7170,425-228-6696
,,,,,425-228-7170,425-228-6696
,,,,,425-228-7170,425-228-6696
435,Paradise Pools,DEAD,DEAD,Pay On Pickup,624-147-1455,
437,JM Martinac Shipbuilding,DEAD,DEAD,Pay On Pickup,253-572-4005,253-627-2816
,,,,,253-572-4005,253-572-6055
439,Washington State Patrol Swat,DEAD,DEAD,Pay On Pickup,P-360-412-9306,360-586-8231
440,Parkway Tavern,DEAD,DEAD,Pay On Pickup,(360)533-3318,
443,Gordon Trucking Inc.,DEAD,DEAD,Pay On Pickup,253-863-7777,
,,,,,253-863-7777,
,,,,,253-863-7777x 4197,253-863-8497
,,,,,253-332-9521,
,,,,,253-863-7777 ext 4187,253-863-1688
,,,,,253-863-7777 ext 4443,253-863-1688
,,,,,253-863-7777 ext 4250,253-863-1688
,,,,,253-863-7777  ,
,,,,,253-863-7777,253-863-8497
,,,,,800-426-8486 ext 4031,
,,,,,(800)426-6010 x4447,
,,,,,319-626-3331,
446,Lakehaven Water and Sewer District ,Corporate,Null,Net 10,253-946-5409,253-945-1657
,,,,,253-945-1617,253-945-1657
,,,,,253-945-1596,
,,,,,253-946-5422,253-839-9738
,,,,,253-941-1516,
,,,,,946-5449,
,,,,,,
,,,,,1-253-261-4808,
,,,,,253-946-5409,
447,Totem Yacht Club,Corporate,polo ad,Pay On Pickup,253-925-0751,
448,David Evans & Associates - Portland,DEAD,DEAD,Pay On Pickup,503-499-0290,
450,Green Lantern Tavern,DEAD,DEAD,Pay On Pickup,(360)289-2297,
,,,,,(360)289-2297,
452,Troutlodge Inc.,Corporate,Prior Customer,Need credit card,(253)863-0446,(253)863-4715
,,,,,253-863-0446,
454,Dale Jones Trucking,DEAD,DEAD,Pay On Pickup,(360)893-6880,360-893-6883
456,Seattle Iron & Metals Corp,Corporate,Prior Customer,Need credit card,206-682-0040,206-623-1231
,,,,,206-834-4445,
457,Mac V Productions,DEAD,DEAD,Pay On Pickup,,
458,Covington Water District,DEAD,DEAD,Pay On Pickup,(253)631-0565x140,(253)631-5823
459,West Coast Forest Product,DEAD,DEAD,Pay On Pickup,(360)435-2175 ext205,360-435-3232
460,Hagara's Contracting,DEAD,DEAD,Pay On Pickup,360-532-6643,
,,,,,,
463,Retired Ironworkers,DEAD,DEAD,Pay On Pickup,415-467-1509,
,,,,,,
471,Jones & Jones,Contract,Prior Customer,Need credit card,360-580-0408 cell,
,,,,,360-753-0367,Olpmpia #
,,,,,425-453-3000 ext 104,
472,Paragon Pacific  ,Corporate,Prior Customer,Net 10,253-872-0800,253-437-0579
,,,,,253-872-0800,253-872-0340
474,Northwest Concrete Cutting,DEAD,DEAD,Pay On Pickup,(253)852-6231,425-255-3979
476,Blue Beacon Restaurant,DEAD,DEAD,Pay On Pickup,(360)533-4872,
477,Boilermakers 568,Corporate,Null,Net 10,253-212-5716,
478,dead,DEAD,DEAD,Pay On Pickup,907-563-7441,907-563-7222
,,,,,907-563-7441,907-563-7222
479,Goldendale Aluminum,DEAD,DEAD,Pay On Pickup,(509)773-7246,(509)773-7245
,,,,,(509)773-5811,(509)773-7212
482,Chihuly's Charters & Porcupine Gift Shop,Corporate,,Pay On Pickup,(907)567-3374,N/A 
483,Alaskan Wilderness Outfitting,DEAD,DEAD,Pay On Pickup,(907)424-5552,907-424-5564
,,,,,907-830-0230,907-424-5552
488,,DEAD,DEAD,Pay On Pickup,(425) 485-3003,425-485-2710
489,Little Vic's  Midland Tavern,DEAD,DEAD,Pay On Pickup,253-537-6995,
490,Toyota of Puyallup,Corporate,Null,Net 10,(253) 286-6000,253-286-6103
,,,,,253-286-8045,253-286-8001
,,,,,(253) 286-6000,
,,,,,253-286-6000,
,,,,,253-286-6086,253-286-6001
,,,,,,
,,,,,253-208-3649,
,,,,,,
491,dead,DEAD,DEAD,Pay On Pickup,,
492,Alpine West Ski School,DEAD,DEAD,Pay On Pickup,253-863-4495,
493,Kent Imprinted Sportswear,DEAD,DEAD,Pay On Pickup,(253)228-5983,
497,DEAD,DEAD,DEAD,Pay On Pickup,,
498,Nichols Sales,Corporate,Prior Customer,Pay On Pickup,,626-962-4244
499,Pacific Northwest Baking Co.,Corporate,Null,Net 10,253-863-0373,253-863-2032
,,,,,253-863-0373,253-863-2032
,,,,,253-863-0373,253-863-2032
,,,,,253-863-0373,
,,,,,,
,,,,,253-341-5895,
,,,,,,
501,Sugar Cane Gifts,DEAD,DEAD,Pay On Pickup,808-667-6851,808-661-4143
502,Kaiser Aluminum,DEAD,DEAD,Pay On Pickup,(253)591-0472,
,,,,,253-591-0472,
506,Int'l Mountain Guides (DEAD),DEAD,DEAD,Pay On Pickup,425-222-4958,
507,Sumner Meadows Golf Links,DEAD,DEAD,Pay On Pickup,253-863-8198,
510,Sprague Pest Control,DEAD,DEAD,Pay On Pickup,(253)272-4400,
,,,,,(253)272-4400,
